Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,SW_Push_1P1T_XKB_TS-1187A,1,BOOT,C318884
"C1, C2",Capacitor 0402,2,4.7u,C7472957
"C10, C11, C13, C14, C15, C16, C17, C18, C19, C4, C6",0402,11,100n,C60474
"C12, C9",0805,2,10u,C5137471
"C20, C21",0603,2,4.7uF,C7419427
C22,0402,1,0.1uF,C60474
C23,0402,1,33pF,C5137486
"C24, C25, C26, C27, C28, C29, C30, C31, C32, C33",0402,10,1uF,C5359886
"C3, C5",0402,2,4.7u,C7472957
"C7, C8",0402,2,15p,C325460
"D1, D2, D3",D_SOD-123,3,MBR0530,C82046
D4,0805,1,LED,C2297
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C2765186
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J3,PinHeader_1x14_P2.54mm_Vertical,1,Conn_01x14_Pin,
J4,PinHeader_1x16_P2.54mm_Vertical,1,Conn_01x16_Pin,
"J5, J6",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
L1,Abracon AOTA-B201610S3R3-101-T,1,3.3u,C42411119
L2,L_APV_ANR4018,1,47uH 500mA,C167808
L3,KiCadAntenna,1,NFC antenna,
Q1,SOT-323_SC-70,1,Si1308EDL,C7603347
"R1, R2",0402,2,5.1k,C2906874
R10,0402,1,1M,C93949
"R11, R14, R9",0402,3,10k,C190095
R12,0402,1,2.2R,C327251
R13,0402,1,47,C854484
R3,0402,1,33,C453643
"R4, R5, R6",0402,3,1k,C852624
"R7, R8",0402,2,27,C2909343
RESET1,SW_Push_1P1T_XKB_TS-1187A,1,RESET,C318884
"SW1, SW2, SW3, SW4, SW5, SW6",SW_PUSH-12mm_Wuerth-430476085716,6,SW_Push,
U1,SOT-23-6,1,SRV05-4,C151305
U2,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C41378174
U3,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C20546
U4,ST_UFDFPN-12-1EP_3x3mm_P0.5mm_EP1.4x2.55mm,1,ST25DV04K-JFR6D3,C2654815
U5,Jushuo_AFC07-S24FCA-00_1x24-1MP_P0.50_Horizontal,1,Conn,C262643
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
